           x1        x2        x3        x4        x5        x6        x7        x8        x9       x10        y1        y2        y3        y4
x1   1.000000  0.004311  0.012128  0.011188  0.009013  0.013068  0.002724  0.000096  0.004913 -0.000285  0.477997  0.410732  0.482735  0.471344
x2   0.004311  1.000000  0.004064  0.004473  0.004639  0.002128  0.003971 -0.002403 -0.000813  0.002635 -0.654650 -0.542753 -0.650751 -0.638405
x3   0.012128  0.004064  1.000000  0.735573  0.782672  0.648962  0.001584  0.000908  0.001874  0.007268 -0.074195  0.362741  0.005945  0.096126
x4   0.011188  0.004473  0.735573  1.000000  0.759408  0.631488 -0.000222  0.001210  0.003702  0.005476 -0.100477  0.419149  0.002025  0.120509
x5   0.009013  0.004639  0.782672  0.759408  1.000000  0.673081 -0.001574  0.000629  0.003340  0.004949 -0.080704  0.374837  0.006597  0.095694
x6   0.013068  0.002128  0.648962  0.631488  0.673081  1.000000  0.001199  0.001969  0.004570  0.007871 -0.069347  0.302101  0.001168  0.128908
x7   0.002724  0.003971  0.001584 -0.000222 -0.001574  0.001199  1.000000  0.000774 -0.001726  0.004616  0.044675  0.016492 -0.001266 -0.000888
x8   0.000096 -0.002403  0.000908  0.001210  0.000629  0.001969  0.000774  1.000000  0.001666 -0.003777 -0.016769  0.157276  0.002824  0.011483
x9   0.004913 -0.000813  0.001874  0.003702  0.003340  0.004570 -0.001726  0.001666  1.000000 -0.015469  0.002197  0.001654  0.033964  0.009356
x10 -0.000285  0.002635  0.007268  0.005476  0.004949  0.007871  0.004616 -0.003777 -0.015469  1.000000 -0.013871 -0.022701 -0.008534  0.070122
y1   0.477997 -0.654650 -0.074195 -0.100477 -0.080704 -0.069347  0.044675 -0.016769  0.002197 -0.013871  1.000000  0.767870  0.926800  0.899463
y2   0.410732 -0.542753  0.362741  0.419149  0.374837  0.302101  0.016492  0.157276  0.001654 -0.022701  0.767870  1.000000  0.799431  0.844918
y3   0.482735 -0.650751  0.005945  0.002025  0.006597  0.001168 -0.001266  0.002824  0.033964 -0.008534  0.926800  0.799431  1.000000  0.953656
y4   0.471344 -0.638405  0.096126  0.120509  0.095694  0.128908 -0.000888  0.011483  0.009356  0.070122  0.899463  0.844918  0.953656  1.000000
