date	x1	x2	x3	y1
Date	prcp_tovdal	prcp_Mykland	airt_hynnekleiv	Austenai_m3s
20120701	0.3	2.3	13.8	9.4
20120702	2.1	1	13.6	10.7
20120703	4	0	13.4	10.1
20120704	9.4	8.3	15.5	13.8
20120705	0	0.1	17.3	12.3
20120706	0	0	16.9	10.6
20120707	11.5	8.1	17.1	11.5
20120708	2.5	3	19.3	13.2
20120709	0	0	16.9	12.2
20120710	3	0	16	21.3
20120711	3.5	5.9	14.4	18.6
20120712	8.6	0.8	12.7	17.3
20120713	16.9	10.3	15.5	16.0
20120714	0	0	13.9	14.4
20120715	2.6	0	13.5	12.9
20120716	0	0	12.5	11.1
20120717	0	0.1	12.9	9.5
20120718	0	0.2	13.2	8.0
20120719	0	0.1	13.5	6.9
20120720	0	0	14.9	6.2
20120721	2	0.3	13.4	5.5
20120722	0.1	0	12.2	4.8
20120723	1	0.5	15.3	4.3
20120724	1.6	0.8	17.2	4.1
20120725	0.1	1	19	3.8
20120726	0	0	16.7	3.4
20120727	0	0	15.2	2.9
20120728	0	0.5	14	2.6
20120729	1	1.7	12.7	2.5
20120730	0	0	12.9	2.3
20120731	9.1	1.3	12	2.2
20120801	15.4	13.2	12.9	2.2
20120802	2.6	0.8	15.2	2.2
20120803	7.5	15.9	16.5	3.6
20120804	0	0	14.8	4.1
20120805	0	0	13.8	3.6
20120806	0	0.5	12.7	3.5
20120807	16.1	16.6	15.3	8.7
20120808	0	0.2	14	10.4
20120809	0	1.3	14.2	9.1
20120810	0	0	13.9	7.8
20120811	0	0	15.4	6.8
20120812	0	0	14	6.2
20120813	0	0	15	5.5
20120814	0	0	13.6	5.0
20120815	0.1	1.3	13.9	4.6
20120816	6.4	0	14.5	4.1
20120817	0	1.7	16.2	4.1
20120818	13	15.6	16.5	4.9
20120819	6.9	5.3	17.6	6.8
20120820	0	0.4	15.8	6.1
20120821	0	0.3	15.8	5.4
20120822	0	0	14.3	4.8
20120823	0.6	0.3	14.2	4.3
20120824	0	0.3	12.5	3.7
20120825	0	0.2	12	3.2
20120826	2.1	2.2	13.7	3.1
20120827	0	0	10.7	2.7
20120828	4.2	0.8	13.1	8.2
20120829	25.4	19.4	12.4	10.6
20120830	27.9	22.4	13.9	19.4
20120831	0	0.2	11.2	14.0
20120901	0	0	11.8	11.0
20120902	0.6	0.8	14.9	9.1
20120903	0	0	15.1	7.6
20120904	0.6	0.3	15.3	6.6
20120905	0	0	12.8	5.9
20120906	0	0	8.2	4.9
20120907	2	3.8	11.8	4.4
20120908	0	0	11.4	3.8
20120909	0	0	12	3.3
20120910	0.2	0.4	15.3	3.0
20120911	2.4	2.8	12.4	3.9
20120912	5	3	7.1	4.8
20120913	0.1	0.6	7.2	4.4
20120914	6.7	2.8	11.9	5.3
20120915	0	0.1	12.1	5.7
20120916	0	0.2	11.3	5.1
20120917	9.9	2.6	10.6	8.0
20120918	8.2	6.9	9	9.2
20120919	0.5	0.6	7.1	8.7
20120920	0	2.6	5.8	7.5
20120921	0	0.2	3.7	6.5
20120922	0	0	5.8	5.7
20120923	0	0.5	5.5	5.1
20120924	1.3	1.3	8.4	4.6
20120925	4.6	5.3	7	5.4
20120926	35.5	23.6	8	12.2
20120927	17	5.1	9	18.5
20120928	1.2	6	7.2	15.4
20120929	0	7.2	6.9	14.1
20120930	2.1	4	7.6	13.8
20121001	4.9	1.6	10.1	13.8
20121002	2	1.1	9.2	14.1
20121003	22.6	14.3	9.1	31.1
20121004	14.9	17.2	5.3	32.5
20121005	4.2	9.5	2.8	25.1
20121006	0	3	3.8	20.2
20121007	0	0	7.1	17.0
20121008	0	0	4.9	14.5
20121009	0.2	0.3	5.7	12.6
20121010	0	0	3	10.8
20121011	0	0	1.7	9.3
20121012	0	0	2.5	8.0
20121013	12.6	4.2	4	7.2
20121014	0	1.5	3.1	6.4
20121015	24	14.2	5.1	8.2
20121016	31.1	24.2	5	11.5
20121017	39	31.9	6.9	21.4
20121018	6.2	5.1	7.7	24.2
20121019	13.2	11.7	6.9	28.1
20121020	10.5	19.6	7.3	27.0
20121021	9.2	6.7	5.4	25.8
20121022	0	0.4	4.1	20.5
20121023	0	0.1	1.8	17.2
20121024	0	0	3.3	14.8
20121025	0	0.1	2	12.9
20121026	0	0.1	0.5	11.1
20121027	0	0	-2.9	9.4
20121028	0	0	-2.8	8.1
20121029	10.2	10.4	2.9	7.6
20121030	1.9	1	-2.2	6.9
20121031	8.1	5.7	2.4	6.7
20121101	14.1	15.3	6.3	18.6
20121102	24	22.2	4.6	23.1
20121103	14.4	16	3.9	20.1
20121104	15.5	17.4	2.2	16.8
20121105	8.5	7.8	1	13.6
20121106	0	0.2	-2.2	11.2
20121107	1	0.6	1.9	9.7
20121108	0	0	4.2	9.3
20121109	0.3	0.5	2.6	9.3
20121110	6.4	7.1	6.7	22.0
20121111	24.5	18.2	5.9	44.0
20121112	6.5	0	1.5	32.6
20121113	0	0	0.2	22.0
20121114	4.5	2	8.3	18.8
20121115	0.5	0.5	2.7	19.9
20121116	0	0	5.3	17.9
20121117	2	2.1	4.1	17.7
20121118	16.5	18.1	1.7	17.7
20121119	0.5	0.3	1.2	15.0
20121120	7	5.6	7.8	17.3
20121121	12.5	9.8	7.3	28.5
20121122	11.5	13.6	5.6	30.5
20121123	6.5	3.9	5.8	32.2
20121124	9	1	-0.4	33.5
20121125	1.5	1.8	0.4	26.4
20121126	8.5	14.8	1.6	22.1
20121127	0.5	0.5	1.4	18.6
20121128	0	0	1.5	15.8
20121129	0	0	-1.7	13.3
20121130	0	0	-6.2	11.3
20121201	0	0	-6.2	10.1
20121202	0	0	-7.8	9.4
20121203	4	7.1	-9.7	8.6
20121204	1	0.3	-12.7	8.4
20121205	0	0.2	-11.7	7.5
20121206	0	0.1	-13.3	7.0
20121207	0.5	0	-11.4	7.0
20121208	0	0	-15.5	6.5
20121209	12	11.2	-3	6.7
20121210	0.7	0.7	-9.9	6.2
20121211	0	0	-21.9	6.0
20121212	0	0	-17.3	5.8
20121213	6.5	6.9	-5.1	5.5
20121214	0.5	0.5	-5.2	5.0
20121215	1.5	1.6	-1.3	5.0
20121216	14	14.8	0.8	5.8
20121217	7.5	7.9	0.5	6.3
20121218	4	4.2	-0.5	5.9
20121219	1	1.1	-5.8	4.2
20121220	0	0	-4.3	3.5
20121221	0	0	-4.5	3.1
20121222	0.5	0.5	-5.7	2.7
20121223	1.2	1.3	-3.2	2.6
20121224	5	5.3	-4.5	2.8
20121225	4	4.2	-1.7	3.0
20121226	7.5	0	-1.4	3.1
20121227	0	0	-12.8	3.0
20121228	0	0	1.6	2.8
20121229	10.5	10.4	1.2	2.8
20121230	12	11.4	2.5	6.8
20121231	4	4.1	-1.5	8.8
20130101	4.5	3.2	-5.7	12.2
20130102	0	0	3.8	10.7
20130103	2.5	1.8	1	9.5
20130104	0	0	-2.8	9.1
20130105	0	0	-4.8	8.1
20130106	0	0	-2.8	7.6
20130107	0	0	-3.1	7.0
20130108	0	0.7	-3	6.3
20130109	1.5	1.2	-5.4	5.7
20130110	0	0.1	-16.2	4.9
20130111	0	0	-16.2	4.3
20130112	0	0	-15.9	4.3
20130113	0	0	-7.3	3.7
20130114	0	0.5	-7	3.4
20130115	0.3	3	-14.2	3.0
20130116	0	0	-10	2.6
20130117	0	0.2	-6.9	2.5
20130118	0.3	2.1	-13.8	2.5
20130119	0	0.3	-11.5	2.3
20130120	0	0.4	-7.1	2.3
